0,40,2064,1,50012,10,15054,3,4312106,206,8,123,1,128,1,102,6,15,18,1,17,25,23,1,13
1,18,3044,3,52012,9,7024,4,3001594,123,6,123,5,128,9,104,9,28,18,14,6,18,1,27,11
2,35,28074,9,3053,1,37024,3,4311309,105,10,137,7,104,2,128,0,18,17,25,2,2,15,15,21
3,34,11074,0,53084,1,13023,0,4312252,125,4,104,7,128,0,206,3,25,28,6,14,25,25,3,24
4,38,32012,10,29012,3,6034,1,4311380,107,9,102,9,206,10,128,9,2,7,14,17,13,20,18,6
5,34,50094,8,19062,6,36034,9,5310744,137,0,105,4,125,1,125,5,28,13,4,29,18,3,4,3
6,33,15034,1,14014,3,51074,3,2502047,119,3,102,3,105,8,103,0,12,21,5,1,24,3,9,4
7,44,48024,2,42013,10,5034,0,2501561,123,1,101,7,119,3,102,0,8,28,2,18,27,14,29,24
8,29,22123,0,28033,4,45022,1,5310641,107,3,104,4,105,8,206,8,2,9,5,28,8,18,27,7
9,41,38054,2,34063,4,17014,8,4312920,101,0,125,7,103,6,103,3,17,11,13,25,23,21,4,13
10,33,13023,9,52062,6,15014,1,4312932,128,1,104,7,104,2,123,8,20,5,4,28,29,18,2,10
11,27,50164,1,9023,5,37034,3,4000099,103,3,107,8,101,2,107,6,18,28,21,24,21,13,17,29
12,43,23013,1,33064,5,27052,10,5311148,102,10,103,0,125,1,123,0,13,18,7,8,15,2,6,2
13,43,22133,10,35024,5,8013,2,2501561,105,5,103,1,101,7,125,7,8,11,23,4,15,9,29,1
14,42,21014,0,28094,7,18043,2,2501903,123,9,104,9,103,4,107,3,11,4,15,5,22,11,14,10
15,33,12074,7,53104,0,52074,5,4313232,107,1,119,10,104,9,137,8,18,27,17,12,8,20,6,22
16,23,20054,7,1063,1,35012,0,4313080,104,9,119,2,104,3,125,2,17,1,6,20,21,9,21,6
17,23,37034,1,10064,2,11074,6,5310794,128,10,128,7,102,0,102,0,24,12,23,25,11,14,9,7
18,45,59012,8,3044,7,1053,8,5600675,123,9,119,9,101,7,125,2,20,3,7,18,24,26,15,3
19,21,5042,7,16033,7,9054,1,3002925,128,3,103,1,107,0,105,6,9,9,23,22,5,18,24,29
20,28,43014,4,35052,6,2034,5,2502943,103,0,105,3,128,5,104,10,10,27,24,27,13,6,1,2
21,40,51064,5,3044,10,50154,7,2502743,101,3,105,6,105,3,125,8,28,26,25,7,13,21,21,9
22,31,51054,6,21044,9,46074,6,2500110,102,8,119,2,102,2,128,2,27,5,11,11,2,4,10,13
23,39,58023,4,59043,3,39013,0,3002563,107,5,101,10,102,7,107,9,15,18,3,9,5,5,17,11
24,44,20024,1,21014,1,31013,6,2501286,128,10,101,6,123,2,206,0,5,2,26,8,18,7,5,8
25,39,27044,0,11094,10,12044,4,4315122,105,3,102,5,101,5,137,8,5,6,27,5,27,10,9,2
26,25,35102,10,33023,1,55013,2,4314205,206,9,137,6,102,10,206,5,8,4,18,22,3,6,26,23
27,38,48034,5,13012,3,7024,5,3000567,123,5,105,3,123,4,103,8,18,10,18,29,26,27,13,1
28,21,8064,10,59064,9,24034,4,2502718,105,7,137,9,103,5,104,0,18,6,20,24,12,24,5,7
29,33,48024,9,62,5,47023,1,2501038,105,2,105,4,103,2,105,3,13,8,4,20,27,18,26,18
30,32,12034,0,36013,9,55044,0,3002613,128,5,103,2,104,9,123,4,27,22,22,29,22,12,17,3
31,19,7034,7,46063,5,11043,8,3000105,125,4,102,7,107,3,128,4,27,27,12,22,21,15,18,17
32,40,32023,7,39042,1,46022,1,2502743,103,3,103,10,206,9,125,5,11,3,25,11,3,2,27,25
33,41,22123,9,51023,8,35102,10,4311351,119,10,123,9,105,3,137,5,25,14,14,2,8,4,9,15
34,34,19072,9,3034,7,22133,4,2500717,128,7,102,8,125,9,103,6,23,1,4,27,7,29,18,26
35,39,46012,10,59043,4,50144,1,4311935,125,0,125,7,125,9,107,2,18,6,7,28,25,6,18,9
36,40,32012,4,50094,4,37013,2,4001696,125,3,128,8,125,9,123,6,11,12,15,20,2,4,17,13
37,35,47073,0,11074,7,28013,1,5600312,128,4,119,1,105,0,128,3,5,11,13,22,1,27,17,27
38,24,33023,4,18033,10,35052,1,4000592,104,1,119,7,137,8,119,8,26,15,15,27,13,25,2,26
39,29,20083,2,56043,3,53084,8,4310379,105,9,105,8,125,10,107,1,29,23,6,6,22,21,29,3
40,29,47023,7,2054,1,48034,1,5311766,107,5,128,5,104,9,128,4,3,13,29,10,26,18,18,7
41,30,52012,2,25024,8,59023,9,4312072,105,3,107,7,103,0,101,0,13,21,17,27,9,5,15,3
42,29,11094,5,18043,4,52,1,4313787,123,9,137,8,206,3,105,3,21,5,8,18,7,12,24,4
43,43,12044,5,3053,0,29012,8,3001720,119,3,105,7,104,7,103,8,1,11,6,11,29,23,15,27
44,24,35073,7,12044,3,53012,1,4311193,103,3,206,7,103,2,119,3,26,7,9,10,13,18,3,6
45,26,11113,8,3023,7,33064,9,4313081,104,0,102,9,125,3,101,7,5,20,3,8,9,25,22,11
46,26,10024,3,1022,5,25024,9,9000107,102,10,125,2,123,1,103,5,1,6,26,3,17,1,5,13
47,39,49034,8,47073,1,47054,4,4033000,128,8,105,4,107,1,137,1,24,13,6,28,26,3,28,6
48,25,28033,1,53023,8,58023,0,4000021,137,4,107,8,137,7,103,6,17,5,7,18,25,13,5,6
49,40,34032,8,55023,7,52074,8,2500239,137,1,107,9,107,8,206,9,3,8,24,1,5,20,6,23
50,35,52052,7,16043,5,36034,10,4311175,103,6,128,8,102,4,102,2,29,1,4,14,23,22,14,4
51,41,40013,0,32054,9,23013,8,2500928,137,5,101,6,103,10,123,7,27,3,26,4,28,28,26,22
52,23,40013,6,18053,0,1032,4,3001383,123,1,125,6,119,9,103,0,5,4,9,3,20,7,11,26
53,35,17024,7,3053,10,18023,5,4312458,104,10,107,1,107,3,123,7,6,26,25,15,27,12,25,18
54,27,46012,6,55044,9,39034,6,4314011,101,5,128,5,125,5,105,1,15,3,28,21,4,18,28,24
55,20,37042,6,52052,6,50012,6,2500291,128,3,206,5,105,6,104,5,24,14,27,21,28,9,28,21
56,29,35012,0,29023,0,5034,10,2502028,104,8,107,4,103,1,206,9,12,14,6,11,10,23,9,5
57,32,52052,0,34094,7,25034,0,4313938,104,8,105,8,102,2,128,1,1,1,6,17,5,22,26,29
58,45,15054,1,47044,2,32034,4,4313060,104,8,104,4,101,3,206,6,18,25,22,18,23,23,14,27
59,32,36044,6,8044,5,49024,5,5311350,102,4,123,1,123,1,119,10,26,13,11,27,12,10,25,20
60,25,21044,4,26014,8,16033,0,4311362,101,9,102,0,123,5,128,0,27,22,22,7,17,9,12,9
61,29,54013,0,53074,9,39042,5,3002612,103,2,107,4,105,10,105,3,5,15,25,18,11,8,8,6
62,43,25024,0,47084,7,8044,8,4313454,102,10,107,0,128,9,128,0,5,28,5,8,28,2,1,5
63,38,22103,7,28023,10,48034,9,5600640,125,0,137,0,137,4,102,3,18,6,10,28,5,8,20,2
64,45,56053,8,4034,0,12034,9,4311210,125,3,104,2,104,3,137,9,14,22,27,11,13,6,17,8
65,38,20013,9,13023,9,26014,5,2500246,128,6,128,6,137,5,125,0,5,3,27,29,14,18,11,22
66,35,50052,10,34074,2,20094,3,3001878,206,9,123,1,104,6,103,3,18,15,27,14,10,17,17,26
67,45,12054,1,51033,9,4034,3,3001685,206,0,206,9,102,5,107,10,22,21,21,11,3,10,13,9
68,45,20013,6,2034,6,34032,8,2500251,128,1,101,8,101,10,102,7,27,9,18,3,13,14,8,18
69,27,28074,7,11043,9,44014,4,3002701,105,2,125,0,125,3,125,6,18,13,12,29,10,29,5,7
70,21,22023,7,47033,3,43023,8,5311077,206,2,105,1,101,5,103,9,4,5,1,3,2,27,7,3
71,27,12044,2,38044,4,2054,8,5310513,101,8,137,3,125,2,137,7,18,27,7,14,18,12,9,8
72,45,27052,5,52012,8,59043,8,3002108,125,3,105,1,105,3,123,6,7,11,7,18,12,12,29,2
73,30,24024,0,24034,3,50073,3,3000488,128,6,102,9,206,3,119,7,11,12,8,13,20,1,25,9
74,22,12023,0,12034,3,12,5,4313542,123,5,125,10,137,10,107,5,8,28,21,9,7,7,26,2
75,35,11043,6,56043,1,50063,10,5310195,102,5,128,8,101,5,128,3,1,7,25,10,12,8,24,13
76,23,52034,2,22113,9,42023,5,5311886,102,10,103,9,206,6,123,9,11,20,25,18,28,29,26,5
77,41,51023,2,6044,8,20064,4,3001566,103,5,102,6,206,9,128,10,23,20,14,10,20,21,9,7
78,24,9033,8,50144,0,50134,2,3002179,103,4,103,0,119,0,123,0,23,13,22,3,12,13,14,28
79,27,56033,6,34044,4,3012,10,4311947,128,7,104,0,119,7,102,2,24,14,22,13,4,3,11,14
80,26,43014,6,23013,6,46053,10,2501615,123,6,103,9,103,10,103,10,24,27,23,9,8,11,9,9
81,33,21044,2,8033,6,11074,5,9000104,128,8,101,2,104,2,107,8,12,28,22,11,27,20,8,9
82,28,2064,3,50063,1,35064,10,4312252,102,5,206,1,125,2,128,7,15,2,20,27,25,13,13,28
83,41,56024,8,32023,7,46074,4,5310210,107,1,137,8,107,10,119,0,11,22,1,14,21,5,23,25
84,42,49013,9,11113,0,35084,3,4314282,101,7,105,9,107,9,104,6,11,1,2,25,14,22,21,3
85,30,28013,10,46012,3,7044,9,4313803,103,7,125,1,137,0,101,9,10,18,6,8,15,27,18,2
86,43,47073,1,10013,1,8044,7,4313000,107,6,102,1,103,9,105,0,1,9,26,11,10,9,20,25
87,43,36034,6,13023,7,34074,8,4000323,107,3,128,5,107,5,123,10,10,15,26,29,15,10,29,7
88,43,2023,7,37064,7,9023,7,4312007,103,5,101,0,104,4,103,4,12,20,26,10,28,2,14,6
89,22,47054,0,47084,10,18023,1,4000946,101,4,137,5,101,8,128,6,3,24,21,4,6,3,26,5
90,45,50114,4,22052,5,53012,5,3002041,103,9,107,2,105,7,125,4,6,8,18,15,17,18,29,20
91,30,23023,8,28074,10,3064,2,3002593,123,3,105,8,105,9,104,9,4,18,20,17,22,2,17,8
92,45,55044,0,46074,5,12094,10,4314621,103,0,107,8,102,3,125,2,14,25,2,11,7,29,27,4
93,29,43023,9,8024,7,53054,4,3001394,103,1,137,7,137,2,206,0,9,4,9,7,10,10,1,28
94,29,39024,9,51012,8,30012,4,5311319,107,7,137,2,125,3,137,10,5,25,24,10,18,2,25,26
95,39,28064,0,57013,6,11012,1,5600355,128,0,105,4,105,0,105,7,29,27,5,13,14,27,7,10
96,31,16043,4,36054,3,14024,0,4312770,123,5,123,6,104,0,119,6,28,17,28,25,25,6,13,15
97,34,32034,4,10024,3,34084,3,4312910,102,5,128,4,104,1,102,10,12,20,1,26,4,26,21,17
98,45,3064,6,7034,8,49013,0,5310468,123,8,128,8,107,7,123,3,18,22,9,26,7,28,21,8
99,25,56024,4,33054,0,37042,1,5310547,123,5,101,2,104,9,137,4,3,5,9,14,7,5,4,12
100,22,39042,0,28064,9,33064,6,4312048,125,0,105,1,101,3,125,1,8,21,24,18,21,13,3,25
101,43,19022,5,12023,8,57024,7,4313154,107,10,102,0,137,2,137,3,22,28,20,8,15,21,22,18
102,29,53012,6,35064,7,6054,9,5601161,128,0,206,5,125,5,103,10,6,20,15,10,3,7,22,4
103,36,30012,0,46043,0,59012,5,4000360,104,8,104,5,105,3,206,5,10,26,25,4,10,17,12,9
104,37,33064,10,28054,2,34053,10,5601028,101,1,128,8,125,5,104,2,12,21,13,23,26,14,14,18
